"12f1 -- 3. Inhabitants' disposable monetary income, 2010-2021"

"Postal code area","Information","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Median income of inhabitants (HR)",23296,24089,24784,25148,25607,25986,26642,27577,28694,29706,29258,30659
"00120  Punavuori - Bulevardi (Helsinki)","Median income of inhabitants (HR)",24084,24941,25865,25830,26219,26284,27107,27518,28726,29816,29684,30668
"00130  Kaartinkaupunki (Helsinki)","Median income of inhabitants (HR)",25176,24541,27078,28596,28113,28357,28641,30479,32121,32894,31558,34786
"00140  Kaivopuisto - Ullanlinna (Helsinki)","Median income of inhabitants (HR)",25210,25934,26741,27400,27597,27696,28114,29439,30411,31718,31333,32537
"00150  Punavuori - Eira - Hernesaari (Helsinki)","Median income of inhabitants (HR)",22850,23514,24459,24433,24866,25499,25883,26543,27697,28478,27997,29324
"00160  Katajanokka (Helsinki)","Median income of inhabitants (HR)",24671,25220,25848,26154,26665,27188,27264,28092,28971,30168,30270,30520
"00170  Kruununhaka (Helsinki)","Median income of inhabitants (HR)",24669,25461,26308,26729,27199,27358,27846,28489,29627,30720,30591,31048
"00180  Kamppi - Ruoholahti (Helsinki)","Median income of inhabitants (HR)",22646,23102,23349,23518,23902,24243,24898,25492,26340,27075,26765,27306
"00190  Suomenlinna (Helsinki)","Median income of inhabitants (HR)",23115,22904,23820,24296,24664,24864,25931,25728,26520,27688,27702,29801
"00200  Pohjois-Lauttasaari (Helsinki)","Median income of inhabitants (HR)",24131,24841,25190,25573,25945,26153,26671,27378,28581,29703,29864,31067
"00210  Vattuniemi (Helsinki)","Median income of inhabitants (HR)",26286,27046,28456,28625,29075,29616,30126,30676,32309,32861,32785,34267
"00220  Jätkäsaari (Helsinki)","Median income of inhabitants (HR)",0,0,24427,23842,25466,26238,24899,24816,26031,27295,26993,27679
"00230  Helsinki postikeskus (Helsinki)","Median income of inhabitants (HR)",0,0,0,0,0,0,0,0,0,0,0,0
"00240  Länsi-Pasila (Helsinki)","Median income of inhabitants (HR)",20477,20763,21609,22108,22224,22501,22600,23045,24146,25322,25552,26678
"00250  Taka-Töölö (Helsinki)","Median income of inhabitants (HR)",22426,22911,23831,24172,24332,24745,25197,25958,26636,27726,27627,28321
"00260  Keski-Töölö (Helsinki)","Median income of inhabitants (HR)",23618,24407,24709,24722,25427,25499,25818,27025,28096,28959,28647,29899
"00270  Pohjois-Meilahti (Helsinki)","Median income of inhabitants (HR)",21706,22123,23144,23196,23397,23742,24057,24382,25312,26245,26461,27120
"00280  Ruskeasuo (Helsinki)","Median income of inhabitants (HR)",21120,21196,22272,21997,22256,22407,22344,23435,24342,25174,25446,25886
