"Helsingin asuntokuntien tulot ja verotus 31.12."

"Alue","Tulotyyppi","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"091 Helsinki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,32276,32875,32758,33160,32076,33874,36148,37686,41252,39145,39820,40741,41591,42086,42735,43411,43331
"091 Helsinki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16422,16807,16781,17096,17293,18140,19283,20334,21799,20636,21373,21848,22271,22453,22740,23077,23100
"091 1 Eteläinen suurpiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,38814,39509,39111,40281,38692,41501,44814,45975,49766,48489,49369,50739,52053,53028,54783,56661,57070
"091 1 Eteläinen suurpiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,21701,22158,21887,22660,22851,24220,25879,27004,28288,27375,28462,29107,29708,30098,30875,31779,32056
"091 101 Vironniemen peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,42353,44472,42586,44408,42729,46269,49152,50318,54709,53744,54441,56425,57808,59454,62026,64262,64550
"091 101 Vironniemen peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,22349,23756,22607,23706,23805,25290,26558,27658,29263,28417,29457,30362,31255,32043,33180,34185,34318
"091 10 Kruununhaka","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,41474,43851,42116,43766,41491,44990,47963,48717,52654,51281,52541,55337,56203,58245,59982,61382,61423
"091 10 Kruununhaka","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,22616,24256,23162,24223,23812,25354,26762,27475,28986,27893,29141,30309,30908,31904,32699,33241,33245
"091 20 Kluuvi","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,37327,37542,37580,39622,42936,46555,51015,47755,58178,53139,51993,54744,67347,65283,74173,87234,91097
"091 20 Kluuvi","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,21716,22004,20878,22641,25588,26586,29079,29319,32275,29982,30960,31943,39516,38476,42684,49596,52583
"091 80 Katajanokka","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,44560,46356,43951,46059,44919,48479,50984,53294,57840,58043,57949,58462,59199,60599,63679,65667,65754
