"Alue","1993 Valtionveronalaiset tulot € / henkilö","1994 Valtionveronalaiset tulot € / henkilö","1995 Valtionveronalaiset tulot € / henkilö","1996 Valtionveronalaiset tulot € / henkilö","1997 Valtionveronalaiset tulot € / henkilö","1998 Valtionveronalaiset tulot € / henkilö","1999 Valtionveronalaiset tulot € / henkilö","2000 Valtionveronalaiset tulot € / henkilö","2001 Valtionveronalaiset tulot € / henkilö","2002 Valtionveronalaiset tulot € / henkilö","2003 Valtionveronalaiset tulot € / henkilö","2004 Valtionveronalaiset tulot € / henkilö","2005 Valtionveronalaiset tulot € / henkilö","2006 Valtionveronalaiset tulot € / henkilö","2007 Valtionveronalaiset tulot € / henkilö","2008 Valtionveronalaiset tulot € / henkilö","2009 Valtionveronalaiset tulot € / henkilö","2010 Valtionveronalaiset tulot € / henkilö","2011 Valtionveronalaiset tulot € / henkilö","2012 Valtionveronalaiset tulot € / henkilö","2013 Valtionveronalaiset tulot € / henkilö","2014 Valtionveronalaiset tulot € / henkilö","2015 Valtionveronalaiset tulot € / henkilö","2016 Valtionveronalaiset tulot € / henkilö","2017 Valtionveronalaiset tulot € / henkilö"
"091 Helsinki",14424,14507,15026,15563,16475,17690,19601,21529,21284,21748,22426,23777,22782,24190,25838,25882,27891,26790,27512,27897,28886,29197,29898,30030,30972
"091 1 Eteläinen suurpiiri",17840,18121,18792,19710,21589,24012,27877,32539,31389,31377,32835,36223,32373,34437,37560,36440,37155,37214,38255,38203,41141,41106,43002,42709,44873
"091 101 Vironniemen peruspiiri",17815,18162,18900,19745,22448,24712,29961,35043,31173,33032,32207,34687,31301,36410,39023,37168,38325,37703,39074,39446,40688,43306,48872,46615,47560
"091 10 Kruununhaka",18140,18565,19057,19997,22559,24689,29522,35251,31655,33851,32580,35118,30854,37407,38538,36784,37730,37081,37944,38798,39770,42052,49045,43005,44080
"091 20 Kluuvi",18888,17948,20687,19298,21942,21744,31807,30197,28675,32767,31811,32587,35453,38245,40816,38110,43743,40950,42679,41599,50242,56643,63849,81033,83753
"091 80 Katajanokka",17211,17562,18473,19387,22321,25074,30492,35214,30644,31724,31642,34185,31629,34647,39617,37691,38755,38379,40500,40228,40971,43474,46446,47668,48159
"091 102 Ullanlinnan peruspiiri",19124,19688,20760,21947,24128,27812,32993,41940,40024,39117,42972,49167,41039,41637,46068,44261,42370,44137,44864,43926,46112,50023,51355,47929,52916
"091 30 Kaartinkaupunki",23188,21362,25432,24113,28787,35781,38211,55524,47682,54139,67178,76973,49713,58842,80591,65255,55221,53656,60024,58367,64749,73061,71703,65586,78943
"091 50 Punavuori",15917,16113,16607,17863,18651,21149,22964,26430,26880,27677,28656,31678,29545,32949,33836,32643,34748,33388,34928,35650,36597,37479,38704,38590,40752
"091 60 Eira",26374,25981,33680,32504,36393,39375,56485,82244,63960,60670,65122,87690,49465,59554,89090,89752,54559,67610,65048,59642,59779,64193,71760,72195,87247
"091 70 Ullanlinna",19647,20859,21510,23050,25439,29612,35753,45934,42486,43070,46880,53968,47252,43961,46170,45884,45227,45790,47597,46040,48583,51655,51463,48787,53214
"091 90 Kaivopuisto",53355,50810,51720,55525,73948,86377,114830,164579,207690,139716,182385,211732,138805,142344,188398,101593,88330,136964,101571,88551,87963,145567,174850,111916,120998
"091 204 Hernesaari",16221,16677,17236,17965,18425,21842,22569,25987,23199,24045,25280,24368,25635,26129,28434,51378,46932,58864,54064,54467,62941,75754,72800,60090,76028
"091 520 Suomenlinna",12472,12776,13085,13221,13294,14252,15353,15876,16402,16879,17238,17998,18197,19098,20527,21771,23322,23869,24669,24456,26093,26592,26430,27867,27270
"091 531 Länsisaaret",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 103 Kampinmalmin peruspiiri",17176,17392,17473,18340,20050,22014,24625,27558,27119,27465,28561,31611,29176,30901,34097,32778,34877,34237,35422,35467,42065,37080,39218,40879,43172
"091 40 Kamppi",16978,17016,17705,18663,20279,21951,24647,27301,26972,27762,29186,35248,28571,32093,34169,33217,35545,34483,36403,36070,38628,38844,42147,46729,48654
"091 130 Etu-Töölö",18274,19268,19176,20197,22392,24429,28316,31952,30423,30883,32027,33623,33520,33982,38572,36188,37856,37670,38602,39403,40776,41243,43042,43422,47696
"091 201 Ruoholahti",11202,10938,12415,12850,13529,16474,15926,17691,19601,18068,17953,18972,18941,20317,21757,22337,24832,23788,24074,24247,25053,25611,26076,26994,27350
"091 202 Lapinlahti",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
